word,bFrequency,bWeight,gFrequency,gWeight,start
the,10866,618,1532,949,FALSE
and,6707,382,719,446,FALSE
to,5549,316,349,216,FALSE
of,4673,266,711,441,FALSE
you,4001,228,10,6,FALSE
in,2913,166,372,231,FALSE
he,2803,160,207,128,FALSE
i,2252,128,278,172,FALSE
a,2189,125,131,81,FALSE
is,2186,124,423,262,FALSE
that,2065,118,159,99,FALSE
for,1976,112,147,91,FALSE
him,1928,110,69,43,FALSE
not,1886,107,144,89,FALSE
will,1769,101,73,45,FALSE
they,1765,100,104,64,FALSE
who,1712,97,280,174,FALSE
his,1464,83,142,88,FALSE
but,1421,81,75,46,FALSE
be,1413,80,118,73,FALSE
god,1410,80,32,20,TRUE
was,1363,78,9,6,FALSE
it,1352,77,177,110,FALSE
with,1351,77,144,89,FALSE
jesus,1271,72,0,0,TRUE
have,1190,68,59,37,FALSE
them,1175,67,57,35,FALSE
are,1141,65,117,73,FALSE
this,1126,64,85,53,FALSE
from,1072,61,99,61,FALSE
on,1047,60,78,48,FALSE
as,996,57,104,64,FALSE
we,945,54,11,7,FALSE
your,940,53,2,1,FALSE
all,911,52,162,100,FALSE
do,905,51,49,30,FALSE
said,892,51,22,14,FALSE
one,867,49,87,54,FALSE
me,842,48,193,120,FALSE
when,822,47,63,39,FALSE
by,816,46,159,99,FALSE
so,796,45,33,20,FALSE
what,790,45,54,33,FALSE
were,733,42,16,10,FALSE
had,731,42,1,1,FALSE
man,711,40,59,37,TRUE
then,706,40,41,25,FALSE
has,691,39,54,33,FALSE
my,672,38,131,81,FALSE
if,652,37,37,23,FALSE
lord,651,37,121,75,TRUE
at,576,33,36,22,FALSE
their,569,32,98,61,FALSE
christ,540,31,0,0,TRUE
out,538,31,2,1,FALSE
s,532,30,0,0,FALSE
because,530,30,11,7,TRUE
us,481,27,0,0,TRUE
no,479,27,58,36,TRUE
those,479,27,55,34,FALSE
or,466,27,99,61,FALSE
there,463,26,40,25,FALSE
come,442,25,17,11,FALSE
up,440,25,15,9,FALSE
son,422,24,8,5,TRUE
father,412,23,8,5,TRUE
our,405,23,14,9,FALSE
people,400,23,9,6,TRUE
about,395,22,8,5,FALSE
came,386,22,1,1,TRUE
did,379,22,1,1,FALSE
men,376,21,16,10,TRUE
into,375,21,20,12,FALSE
know,364,21,30,19,TRUE
am,360,20,140,87,TRUE
now,360,20,18,11,TRUE
went,356,20,0,0,FALSE
been,348,20,8,5,FALSE
spirit,340,19,73,45,TRUE
may,313,18,26,16,FALSE
these,292,17,48,30,FALSE
also,288,16,11,7,FALSE
law,281,16,10,6,TRUE
her,279,16,1,1,FALSE
see,279,16,31,19,TRUE
through,275,16,23,14,FALSE
things,275,16,10,6,FALSE
go,270,15,11,7,FALSE
disciples,266,15,0,0,TRUE
day,262,15,5,3,FALSE
like,261,15,16,10,FALSE
asked,260,15,12,7,TRUE
time,256,15,13,8,TRUE
tell,255,15,12,7,TRUE
faith,254,14,26,16,TRUE
how,253,14,26,16,FALSE
say,250,14,7,4,FALSE
good,250,14,11,7,TRUE
which,245,14,117,73,FALSE
does,238,14,31,19,FALSE
some,237,13,8,5,FALSE
heaven,236,13,10,6,TRUE
life,235,13,48,30,TRUE
an,232,13,34,21,FALSE
heard,232,13,3,2,FALSE
love,232,13,10,6,TRUE
many,229,13,10,6,FALSE
saw,226,13,3,2,FALSE
brothers,222,13,1,1,TRUE
before,222,13,16,10,TRUE
even,222,13,31,19,FALSE
down,219,12,3,2,FALSE
way,218,12,5,3,FALSE
let,216,12,22,14,TRUE
can,214,12,43,27,TRUE
after,213,12,8,5,FALSE
where,213,12,7,4,FALSE
give,212,12,10,6,TRUE
anyone,212,12,1,1,FALSE
put,210,12,1,1,FALSE
called,209,12,7,4,TRUE
against,208,12,5,3,TRUE
world,208,12,39,24,TRUE
paul,208,12,0,0,FALSE
away,207,12,12,7,TRUE
made,205,12,3,2,TRUE
she,196,11,1,1,FALSE
would,195,11,13,8,FALSE
sent,194,11,0,0,TRUE
holy,193,11,24,15,TRUE
more,193,11,15,9,FALSE
over,190,11,9,6,FALSE
peter,185,11,0,0,FALSE
truth,182,10,24,15,TRUE
other,179,10,14,9,FALSE
replied,176,10,19,12,FALSE
own,175,10,40,25,TRUE
great,171,10,25,15,FALSE
only,171,10,59,37,TRUE
name,169,10,1,1,TRUE
among,169,10,35,22,FALSE
again,169,10,31,19,FALSE
take,168,10,7,4,FALSE
every,168,10,11,7,FALSE
given,168,10,7,4,TRUE
jews,167,10,0,0,FALSE
body,167,10,26,16,TRUE
himself,167,10,14,9,FALSE
whom,166,9,15,9,FALSE
gave,166,9,1,1,TRUE
another,165,9,9,6,FALSE
t,165,9,0,0,FALSE
told,165,9,6,4,TRUE
john,161,9,0,0,FALSE
first,160,9,9,6,FALSE
house,159,9,3,2,FALSE
therefore,159,9,23,14,FALSE
must,158,9,7,4,FALSE
kingdom,157,9,7,4,FALSE
while,157,9,8,5,FALSE
dead,156,9,4,2,FALSE
earth,156,9,22,14,FALSE
why,156,9,6,4,FALSE
just,156,9,1,1,FALSE
word,155,9,frequency,weighted,FALSE
should,155,9,20,12,FALSE
place,150,9,6,4,FALSE
than,150,9,18,11,FALSE
two,147,8,8,5,FALSE
everything,145,8,9,6,FALSE
jerusalem,142,8,0,0,FALSE
make,141,8,7,4,FALSE
